District/Year,2019,2012,2007,2003,1997,1977,1972
Gurdaspur,2654,934,412,0.5,4.1,0.1,19
Pathankot,457,NA,NA,NA,NA,NA,NA
Amritsar,2281,690,820,0.6,13.9,3.3,49
Tarn Taran,1428,1123,646,0.4,NA,NA,NA
Kapurthala,743,356,353,0.3,0.3,@,6
Jalandhar,1367,1430,728,0.6,7.5,0.2,16
SBS Nagar,215,243,269,0.1,1.1,NA,NA
Hoshiarpur,1786,532,633,0.4,1.2,0.2,6
Rupnagar,2579,1290,744,1.3,1.5,0.4,67
SAS Nagar,5954,3590,2796,1.9,NA,NA,NA
Ludhiana,6755,8064,4822,2.6,16.3,0.9,73
Ferozpur,676,2007,668,1.8,7,6.4,5
Fazilka,2684,NA,NA,NA,NA,NA,NA
Faridkot,936,295,291,1.2,1.2,13.7,35
Sri Muktsar Sahib,382,745,466,5.2,1.2,NA,NA
Moga,1824,984,1069,1.2,4.1,NA,NA
Bathinda,2530,416,1038,2.4,2.7,37.7,17
Mansa,2256,1459,781,1.8,13.3,NA,NA
Sangrur,5901,1696,2699,1.7,4.8,11.1,55
Barnala,2493,752,730,0.6,NA,NA,NA
Patiala,4554,3241,1683,4.6,11.6,0.4,113
Fatehgarh Sahib,2506,2374,1116,0.7,1.8,NA,NA
Total,52961,32221,22764,29.9,93.7,74.4,461
,,,,,,,
